ZIP Code,Job Openings,Median Salary,Agriculture Forestry Fishing and Hunting jobs,Mining Quarrying and Oil and Gas Extraction jobs,Utilities jobs,Construction jobs,Manufacturing jobs,Wholesale Trade jobs,Retail Trade jobs,Transportation and Warehousing jobs,Information jobs,Finance and Insurance jobs,Real Estate and Rental and Leasing jobs,Professional Scientific and Technical Services jobs,Management of Companies and Enterprises jobs,Administration & Support Waste Management and Remediation jobs,Educational Services jobs,Health Care and Social Assistance jobs,Arts Entertainment and Recreation jobs,Accommodation and Food Services jobs,Public Administration jobs,Other Services (excluding Public Administration) jobs,fast food jobs,Neighborhood
91945,18,33392.0,0,0,1,1,1,1,2,0,1,0,0,1,0,0,1,2,0,0,0,0,0,Lemon Grove
91946,2,,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Lemon Grove
91947,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,
91948,1,37566.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
91950,192,33392.0,1,4,4,6,5,10,31,6,0,8,0,9,15,1,1,20,1,2,7,5,0,National City
91962,1,60000.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pine Valley
91976,1,33392.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Spring Valley
91977,32,41740.0,0,0,0,5,0,2,5,1,0,2,1,1,2,0,0,2,0,0,0,4,0,Spring Valley
91978,15,36689.5,0,0,1,2,1,0,2,0,0,1,0,0,2,0,0,3,0,0,1,0,0,Spring Valley
91987,1,31900.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Tecate
92003,9,31305.0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,0,0,0,0,0,0,Bonsall
92007,9,33392.0,1,0,0,0,0,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,Cardiff
92008,287,45914.0,3,9,0,13,24,18,29,17,6,27,5,23,32,3,4,9,3,3,6,9,0,Carlsbad
92009,61,35479.0,0,2,0,0,6,4,5,1,2,3,0,6,7,0,0,2,0,1,0,3,0,Carlsbad
92010,68,45914.0,0,0,2,4,12,5,13,2,9,3,0,3,3,0,1,0,1,0,2,1,0,Carlsbad
92011,80,40970.0,0,0,2,2,4,4,7,1,2,9,0,2,13,0,3,5,0,4,3,0,0,Carlsbad
92014,40,43827.0,0,0,0,1,0,1,1,2,2,2,1,1,5,0,6,2,1,1,2,1,0,Del Mar
92018,1,31305.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Carlsbad
92019,33,37650.0,0,0,1,0,0,0,1,0,0,1,0,3,9,0,0,0,0,1,0,4,0,El Cajon
92020,203,37566.0,1,0,11,25,23,19,26,8,6,7,2,7,18,0,4,6,0,0,6,6,0,El Cajon
92021,48,35500.0,0,0,1,6,7,1,5,0,3,0,1,4,7,0,1,1,0,0,2,2,0,El Cajon
92022,6,52782.5,0,0,0,0,0,1,0,0,0,2,0,0,1,0,0,1,0,0,0,1,0,El Cajon
92023,2,41740.0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,
92024,115,35479.0,3,1,2,7,0,7,30,2,1,2,0,8,16,1,4,6,0,2,1,10,0,Encinitas
92025,160,37566.0,0,0,3,11,4,7,19,6,2,9,6,10,13,0,2,25,2,1,11,9,0,Escondido
92026,34,39653.0,0,0,0,1,2,0,0,0,0,3,0,2,6,0,0,3,0,1,1,0,0,Escondido
92027,13,32500.0,1,0,0,1,0,0,1,0,0,0,0,3,0,0,0,3,0,1,1,0,0,Escondido
92028,30,35479.0,1,0,1,2,2,0,5,3,0,2,0,1,2,0,2,1,0,1,0,2,0,Fallbrook
92029,54,34300.0,0,1,0,3,6,4,8,1,1,2,0,4,5,1,2,7,1,1,0,0,0,Escondido
92033,2,39689.5,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Escondido
92036,8,19575.0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,Julian
92037,212,41740.0,0,2,0,9,4,10,21,3,8,8,6,22,18,0,12,19,0,5,1,4,0,La Jolla
92038,1,33392.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
92040,31,39050.0,0,0,1,2,3,3,1,0,1,0,0,5,3,0,4,0,0,1,0,1,0,Lakeside
92049,4,49620.0,0,0,0,0,1,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,Oceanside
92051,2,33392.0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Oceanside
92052,1,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Oceanside
92054,140,37566.0,1,0,4,9,4,9,19,6,0,9,3,8,19,0,1,6,0,2,0,8,0,Oceanside
92055,12,36358.0,0,0,0,2,0,0,2,0,0,1,0,1,2,0,0,2,0,0,0,0,0,Oceanside
92056,69,42400.0,1,1,1,1,6,3,10,3,3,11,0,2,1,3,2,5,1,0,2,0,0,Oceanside
92057,31,32250.0,3,0,0,0,0,3,2,0,0,0,0,2,3,0,5,2,0,2,1,2,0,Oceanside
92058,41,38100.0,0,0,2,1,2,3,7,0,1,0,0,4,4,1,1,4,0,0,1,0,0,Oceanside
92059,6,26100.0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Pala
92060,1,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
92061,5,30800.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,Pauma Valley
92064,158,37566.0,0,0,2,9,4,11,27,9,3,10,4,12,24,2,3,11,1,1,1,5,0,Poway
92065,15,37566.0,0,0,0,4,2,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,Ramona
92067,23,34435.5,0,1,0,2,0,0,0,0,0,0,0,1,2,0,0,2,0,3,0,1,0,Rancho Santa Fe
92069,120,35479.0,2,0,6,10,2,8,20,14,3,4,1,8,11,1,3,3,0,1,5,4,0,San Marcos
92070,2,37566.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Santa Ysabel
92071,57,35479.0,0,0,1,3,4,6,9,1,3,4,0,1,4,1,1,1,0,3,3,3,0,Santee
92072,1,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Santee
92074,4,50498.5,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Poway
92075,29,33796.0,0,0,1,1,0,2,2,0,6,1,0,0,7,0,1,1,1,1,0,2,0,Solana Beach
92078,71,35479.0,0,0,1,3,3,5,16,4,4,1,1,3,9,0,0,6,2,0,0,0,0,San Marcos
92079,3,39700.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,
92081,91,41740.0,1,2,11,5,14,4,10,4,3,4,0,5,14,0,0,4,0,0,0,3,0,Vista
92082,33,33392.0,0,0,0,0,1,0,0,2,0,2,0,3,1,3,0,1,1,9,1,2,0,Valley Center
92083,74,33392.0,0,0,2,2,3,8,10,4,1,1,0,2,12,1,2,1,0,1,4,1,0,Vista
92084,21,41740.0,1,1,0,1,0,2,6,0,1,1,0,0,1,1,0,1,0,0,3,0,0,Vista
92085,4,37033.0,0,0,0,0,1,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,Vista
92088,3,40000.0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fallbrook
92092,6,36500.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,1,0,La Jolla
92093,34,50088.0,0,0,0,1,3,1,2,0,0,5,0,3,4,1,13,0,0,0,0,0,0,La Jolla
92096,7,39072.0,0,0,0,0,0,0,4,0,0,0,0,1,1,0,1,0,0,0,0,0,0,San Marcos
92101,771,41740.0,11,8,7,39,23,53,94,12,46,48,17,53,76,6,7,15,5,32,24,34,0,Downtown
92102,81,43827.0,0,0,0,1,3,6,8,6,5,7,1,5,7,1,3,7,0,0,4,3,0,Golden Hill
92103,152,37566.0,0,1,2,4,0,1,20,3,7,13,0,6,15,2,11,16,1,1,3,4,0,"Hillcrest, Mission Hills"
92104,52,37566.0,0,0,0,2,0,1,11,2,0,4,0,0,2,3,0,7,0,1,1,0,0,North Park
92105,45,41740.0,0,1,0,3,0,2,3,1,0,1,0,4,8,0,2,8,0,0,2,1,0,City Heights
92106,77,35479.0,0,0,4,2,0,3,12,0,6,8,1,3,8,0,5,1,2,1,0,2,0,Point Loma
92107,9,35479.0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,3,0,0,0,2,0,Ocean Beach
92108,299,40150.0,1,5,3,12,5,15,38,1,13,22,6,9,38,3,11,9,2,12,13,12,0,Mission Valley
92109,86,33392.0,1,1,1,7,0,3,10,0,3,1,1,5,15,0,0,4,2,3,1,3,0,"Pacific Beach, Mission Beach"
92110,181,37566.0,0,0,1,15,1,9,18,3,14,8,1,21,22,2,1,9,1,5,6,7,0,Morena
92111,183,35200.0,0,0,4,16,7,6,38,5,6,9,0,11,17,1,3,6,2,2,7,5,0,Linda Vista
92112,2,43431.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
92113,62,37566.0,0,0,0,5,0,3,14,3,3,1,0,2,8,1,0,1,0,0,2,3,0,Logan Heights
92114,24,33392.0,0,0,0,7,1,0,0,0,1,2,0,4,2,0,0,0,0,0,1,1,0,Encanto
92115,57,37566.0,0,0,1,1,1,0,7,3,0,1,1,2,2,0,2,8,0,2,4,1,0,College
92116,12,34435.5,0,0,0,0,0,1,1,1,0,0,0,1,3,0,0,1,0,0,0,0,0,"Kensington, Normal Heights"
92117,48,35479.0,0,2,0,3,1,4,9,4,0,3,2,0,4,0,0,1,1,2,1,1,0,Clairemont
92118,84,36933.0,1,1,0,3,0,1,9,1,0,2,0,6,12,0,1,3,1,7,3,1,0,Coronado
92119,9,32500.0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,1,1,2,0,0,0,0,San Carlos
92120,52,37566.0,0,0,1,1,1,4,6,2,0,3,1,6,4,1,2,9,0,0,3,0,0,"Allied Gardens, Del Cerro"
92121,730,52175.0,2,3,9,52,71,43,123,24,43,54,4,80,81,3,4,18,4,2,26,11,0,Sorrento Valley
92122,127,41740.0,0,0,0,7,2,12,13,1,9,17,0,8,11,0,14,3,0,5,0,3,0,University City
92123,264,41740.0,1,4,10,16,12,16,29,7,26,17,5,10,29,3,2,16,0,1,10,4,0,Serra Mesa
92124,7,30450.0,0,0,0,0,0,1,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,Tierrasanta
92126,132,37566.0,1,3,2,15,7,14,13,9,2,6,0,10,14,1,1,4,2,0,1,5,0,Mira Mesa
92127,133,38600.0,1,1,0,5,4,5,13,6,8,6,1,19,13,2,2,0,7,5,0,2,0,Rancho Bernardo
92128,100,41740.0,2,1,2,5,4,6,14,2,5,8,1,6,11,1,2,10,1,0,0,3,0,Rancho Bernardo
92129,37,37566.0,0,0,0,2,3,3,5,0,3,2,0,5,3,1,4,1,0,0,0,2,0,Penasquitos
92130,125,40500.0,0,0,0,6,3,10,25,0,7,13,0,9,12,1,1,1,0,2,2,2,0,Carmel Valey
92131,66,41740.0,1,1,1,4,2,4,4,1,4,13,0,0,4,1,10,0,1,2,0,3,0,Scripps Ranch
92132,3,74100.0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Downtown
92134,4,35479.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Balboa Park
92135,16,45550.0,0,0,0,0,2,2,2,0,0,3,0,1,1,0,0,0,0,0,0,0,0,Coronado
92136,23,60000.0,0,1,0,1,0,1,1,1,3,3,1,1,2,4,0,0,0,0,0,0,0,Logan Heights
92138,2,100000.0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,
92139,12,33392.0,0,0,0,2,0,0,3,0,0,0,0,0,2,0,0,1,0,0,0,2,0,Paradise Hills
92140,11,35479.0,0,0,0,1,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Midway
92145,15,35600.0,0,1,1,2,0,3,2,0,0,0,0,1,2,0,0,0,0,0,0,1,0,Miramar
92152,9,48950.0,0,0,0,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,Point Loma
92154,101,35479.0,0,1,1,7,12,6,7,23,6,7,1,6,6,1,0,0,0,0,2,1,0,Otay Mesa
92155,9,73200.5,0,0,0,0,1,0,0,1,1,2,0,1,0,0,0,0,0,0,0,1,0,Coronado
92161,4,93750.0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,La Jolla
92170,3,,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Downtown
92173,49,31900.0,2,2,0,2,0,6,12,0,0,1,0,0,8,0,0,3,0,0,1,2,0,San Ysidro
92175,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,College
92178,6,33392.0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,2,0,0,0,0,0,Coronado
92179,2,52175.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Otay Mesa
92182,25,42156.0,0,1,0,0,0,0,1,1,0,4,0,3,0,0,5,0,0,0,7,0,0,College
92191,1,33392.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
92192,1,33392.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,University City
92195,1,33392.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,College
92199,1,35200.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
